horizontal_speed_m_s,descent_rate_m_s,theta0_positive,s_vrs
0,0,True,0
0,0.75,True,0
0,1.52,True,0
0,2.0,True,1
0,3.0,True,1
0,5.0,True,1
0,8.0,True,1
2,0,True,0
2,0.75,True,0
2,1.52,True,0
2,2.0,True,1
2,3.0,True,1
2,5.0,True,1
2,8.0,True,1
4,0,True,0
4,0.75,True,0
4,1.52,True,0
4,2.0,True,1
4,3.0,True,1
4,5.0,True,1
4,8.0,True,1
6,0,True,0
6,0.75,True,0
6,1.52,True,0
6,2.0,True,1
6,3.0,True,1
6,5.0,True,1
6,8.0,True,1
8,0,True,0
8,0.75,True,0
8,1.52,True,0
8,2.0,True,1
8,3.0,True,1
8,5.0,True,1
8,8.0,True,1
10,0,True,0
10,0.75,True,0
10,1.52,True,0
10,2.0,True,1
10,3.0,True,1
10,5.0,True,1
10,8.0,True,1
12,0,True,0
12,0.75,True,0
12,1.52,True,0
12,2.0,True,0
12,3.0,True,0
12,5.0,True,0
12,8.0,True,0
14,0,True,0
14,0.75,True,0
14,1.52,True,0
14,2.0,True,0
14,3.0,True,0
14,5.0,True,0
14,8.0,True,0
16,0,True,0
16,0.75,True,0
16,1.52,True,0
16,2.0,True,0
16,3.0,True,0
16,5.0,True,0
16,8.0,True,0
20,0,True,0
20,0.75,True,0
20,1.52,True,0
20,2.0,True,0
20,3.0,True,0
20,5.0,True,0
20,8.0,True,0
